match_id,bowler,runs_conceded,legal_balls,wickets_taken,dot_balls,overs_bowled,economy_rate,dot_ball_pct
335982,AA Noffke,41,24,1,6,4.0,10.25,25.0
335982,AB Agarkar,25,24,3,15,4.0,6.25,62.5
335982,AB Dinda,9,18,2,11,3.0,3.0,61.11
335982,CL White,24,6,0,0,1.0,24.0,0.0
335982,I Sharma,13,18,1,10,3.0,4.33,55.56
335982,JH Kallis,52,24,1,8,4.0,13.0,33.33
335982,LR Shukla,12,7,1,3,1.17,10.26,42.86
335982,P Kumar,41,24,0,10,4.0,10.25,41.67
335982,SB Joshi,26,18,0,4,3.0,8.67,22.22
335982,SC Ganguly,23,24,3,11,4.0,5.75,45.83
335982,Z Khan,38,24,1,8,4.0,9.5,33.33
335983,B Lee,36,24,1,11,4.0,9.0,45.83
335983,IK Pathan,47,24,2,6,4.0,11.75,25.0
335983,JDP Oram,37,24,0,6,4.0,9.25,25.0
335983,JR Hopes,54,24,1,7,4.0,13.5,29.17
335983,Joginder Sharma,47,24,1,5,4.0,11.75,20.83
335983,K Goel,25,12,0,2,2.0,12.5,16.67
335983,M Muralitharan,35,24,1,5,4.0,8.75,20.83
335983,MS Gony,43,24,1,6,4.0,10.75,25.0
335983,P Amarnath,45,24,1,1,4.0,11.25,4.17
335983,PP Chawla,19,6,0,1,1.0,19.0,16.67
335983,S Sreesanth,35,18,0,5,3.0,11.67,27.78
335983,WA Mota,24,12,1,2,2.0,12.0,16.67
335984,B Geeves,41,24,1,8,4.0,10.25,33.33
335984,D Salunkhe,11,6,0,0,1.0,11.0,0.0
335984,DL Vettori,35,24,1,8,4.0,8.75,33.33
335984,GD McGrath,21,24,1,16,4.0,5.25,66.67
335984,MF Maharoof,14,24,2,10,4.0,3.5,41.67
335984,MM Patel,25,18,0,10,3.0,8.33,55.56
335984,R Bhatia,18,24,3,12,4.0,4.5,50.0
335984,SK Trivedi,32,18,0,6,3.0,10.67,33.33
335984,SK Warne,16,12,0,2,2.0,8.0,16.67
335984,SR Watson,31,24,1,9,4.0,7.75,37.5
335984,YK Pathan,17,13,0,4,2.17,7.83,30.77
335985,A Nehra,45,24,1,7,4.0,11.25,29.17
335985,AM Nayar,10,6,0,2,1.0,10.0,33.33
335985,B Akhil,19,18,2,6,3.0,6.33,33.33
335985,DS Kulkarni,19,16,1,8,2.67,7.12,50.0
335985,Harbhajan Singh,36,24,2,6,4.0,9.0,25.0
335985,JH Kallis,44,18,0,2,3.0,14.67,11.11
335985,P Kumar,29,24,1,11,4.0,7.25,45.83
335985,R Vinay Kumar,42,24,0,8,4.0,10.5,33.33
335985,SB Joshi,10,12,0,5,2.0,5.0,41.67
335985,SM Pollock,17,24,0,10,4.0,4.25,41.67
335985,ST Jayasuriya,39,24,1,3,4.0,9.75,12.5
335985,Z Khan,21,24,4,13,4.0,5.25,54.17
335986,A Symonds,24,12,0,3,2.0,12.0,25.0
335986,AB Agarkar,19,12,2,6,2.0,9.5,50.0
335986,AB Dinda,18,18,1,9,3.0,6.0,50.0
335986,DJ Hussey,35,18,1,7,3.0,11.67,38.89
335986,I Sharma,10,18,1,12,3.0,3.33,66.67
335986,M Kartik,17,22,4,14,3.67,4.63,63.64
335986,Mohammad Hafeez,11,24,1,14,4.0,2.75,58.33
335986,PP Ojha,20,24,2,11,4.0,5.0,45.83
335986,RP Singh,19,18,1,9,3.0,6.33,50.0
335986,SB Bangar,19,18,0,13,3.0,6.33,72.22
335986,SB Styris,20,24,0,14,4.0,5.0,58.33
335986,WPUJC Vaas,10,18,2,11,3.0,3.33,61.11
335987,B Lee,36,24,1,12,4.0,9.0,50.0
335987,D Salunkhe,22,11,1,4,1.83,12.02,36.36
335987,IK Pathan,21,24,1,11,4.0,5.25,45.83
335987,JR Hopes,34,24,1,10,4.0,8.5,41.67
335987,MM Patel,36,24,2,12,4.0,9.0,50.0
335987,PP Chawla,27,12,0,4,2.0,13.5,33.33
335987,Pankaj Singh,12,6,0,0,1.0,12.0,0.0
335987,S Sreesanth,38,19,1,9,3.17,11.99,47.37
335987,SK Trivedi,25,24,2,12,4.0,6.25,50.0
335987,SK Warne,19,24,3,11,4.0,4.75,45.83
335987,SR Watson,39,24,0,12,4.0,9.75,50.0
335987,WA Mota,12,6,0,1,1.0,12.0,16.67
335987,YK Pathan,13,6,0,3,1.0,13.0,50.0
335988,A Symonds,35,12,0,4,2.0,17.5,33.33
335988,GD McGrath,23,24,0,15,4.0,5.75,62.5
335988,MF Maharoof,36,24,2,10,4.0,9.0,41.67
335988,Mohammad Asif,20,24,2,16,4.0,5.0,66.67
335988,PP Ojha,12,6,0,2,1.0,12.0,33.33
335988,R Bhatia,27,24,3,9,4.0,6.75,37.5
335988,RP Singh,27,18,1,7,3.0,9.0,38.89
335988,SB Bangar,30,12,0,3,2.0,15.0,25.0
335988,Shahid Afridi,17,12,0,3,2.0,8.5,25.0
335988,VY Mahesh,36,24,1,6,4.0,9.0,25.0
335988,WPUJC Vaas,22,18,0,7,3.0,7.33,38.89
335989,A Nehra,35,24,2,12,4.0,8.75,50.0
335989,AM Nayar,14,6,0,2,1.0,14.0,33.33
335989,DJ Bravo,37,18,0,3,3.0,12.33,16.67
335989,DS Kulkarni,25,18,1,7,3.0,8.33,38.89
335989,Harbhajan Singh,15,12,0,2,2.0,7.5,16.67
335989,JDP Oram,53,24,1,7,4.0,13.25,29.17
335989,Joginder Sharma,29,24,2,8,4.0,7.25,33.33
335989,M Muralitharan,40,24,2,5,4.0,10.0,20.83
335989,MA Khote,30,18,2,3,3.0,10.0,16.67
335989,MS Gony,23,24,1,12,4.0,5.75,50.0
335989,P Amarnath,57,24,1,6,4.0,14.25,25.0
335989,SM Pollock,36,18,0,7,3.0,12.0,38.89
335989,VS Yeligati,16,6,0,1,1.0,16.0,16.67
335990,A Symonds,47,17,0,2,2.83,16.61,11.76
335990,D Kalyankrishna,30,18,1,4,3.0,10.0,22.22
335990,D Salunkhe,9,6,0,2,1.0,9.0,33.33
335990,MM Patel,55,24,0,7,4.0,13.75,29.17
335990,PP Ojha,23,12,0,3,2.0,11.5,25.0
335990,Pankaj Singh,14,12,0,4,2.0,7.0,33.33
335990,RP Singh,47,24,2,8,4.0,11.75,33.33
335990,SK Trivedi,37,18,0,2,3.0,12.33,11.11
335990,SK Warne,47,24,2,3,4.0,11.75,12.5
335990,SR Watson,32,24,1,13,4.0,8.0,54.17
335990,Shahid Afridi,28,24,3,9,4.0,7.0,37.5
335990,WPUJC Vaas,42,24,1,8,4.0,10.5,33.33
335990,YK Pathan,20,12,2,6,2.0,10.0,50.0
335991,A Nehra,22,18,2,7,3.0,7.33,38.89
335991,B Lee,10,24,2,17,4.0,2.5,70.83
335991,DJ Bravo,27,18,0,6,3.0,9.0,33.33
335991,DS Kulkarni,38,24,3,9,4.0,9.5,37.5
335991,Harbhajan Singh,33,24,4,8,4.0,8.25,33.33
335991,IK Pathan,19,24,2,15,4.0,4.75,62.5
335991,MA Khote,22,12,0,2,2.0,11.0,16.67
335991,PP Chawla,16,24,2,15,4.0,4.0,62.5
335991,S Sreesanth,31,24,2,12,4.0,7.75,50.0
335991,SM Pollock,40,24,1,8,4.0,10.0,33.33
335991,VRV Singh,40,24,1,10,4.0,10.0,41.67
335992,A Kumble,22,24,0,10,4.0,5.5,41.67
335992,JH Kallis,7,6,0,2,1.0,7.0,33.33
335992,MM Patel,20,18,2,9,3.0,6.67,50.0
335992,P Kumar,42,18,1,5,3.0,14.0,27.78
335992,R Vinay Kumar,15,12,0,4,2.0,7.5,33.33
335992,SB Joshi,27,19,1,9,3.17,8.52,47.37
335992,SK Trivedi,29,24,1,12,4.0,7.25,50.0
335992,SK Warne,24,24,2,14,4.0,6.0,58.33
335992,SR Watson,20,24,3,15,4.0,5.0,62.5
335992,Sohail Tanvir,32,24,0,13,4.0,8.0,54.17
335992,YK Pathan,10,6,0,1,1.0,10.0,16.67
335992,Z Khan,25,24,1,14,4.0,6.25,58.33
335993,AB Agarkar,20,18,1,8,3.0,6.67,44.44
335993,AB Dinda,25,18,0,11,3.0,8.33,61.11
335993,DJ Hussey,10,6,0,2,1.0,10.0,33.33
335993,I Sharma,28,18,0,8,3.0,9.33,44.44
335993,JDP Oram,32,24,3,9,4.0,8.0,37.5
335993,Joginder Sharma,32,24,2,7,4.0,8.0,29.17
335993,LR Shukla,19,12,0,2,2.0,9.5,16.67
335993,M Kartik,34,18,0,1,3.0,11.33,5.56
335993,M Muralitharan,13,24,0,14,4.0,3.25,58.33
335993,MS Gony,40,24,2,9,4.0,10.0,37.5
335993,Mohammad Hafeez,16,12,0,2,2.0,8.0,16.67
335993,P Amarnath,30,24,2,10,4.0,7.5,41.67
335994,A Nehra,19,12,0,5,2.0,9.5,41.67
335994,AM Nayar,22,6,0,0,1.0,22.0,0.0
335994,D Kalyankrishna,23,12,0,2,2.0,11.5,16.67
335994,DJ Bravo,31,13,0,3,2.17,14.29,23.08
335994,DNT Zoysa,30,24,1,11,4.0,7.5,45.83
335994,DS Kulkarni,8,6,0,4,1.0,8.0,66.67
335994,PP Ojha,14,12,0,4,2.0,7.0,33.33
335994,RP Singh,19,24,2,14,4.0,4.75,58.33
335994,SB Bangar,35,24,2,8,4.0,8.75,33.33
335994,SD Chitnis,21,12,0,3,2.0,10.5,25.0
335994,SM Pollock,33,12,0,3,2.0,16.5,25.0
335994,ST Jayasuriya,21,12,0,3,2.0,10.5,25.0
335994,Shahid Afridi,33,24,2,10,4.0,8.25,41.67
335995,B Lee,36,24,1,4,4.0,9.0,16.67
335995,GD McGrath,31,24,1,10,4.0,7.75,41.67
335995,IK Pathan,27,24,3,7,4.0,6.75,29.17
335995,MF Maharoof,31,18,0,7,3.0,10.33,38.89
335995,Mohammad Asif,40,24,2,10,4.0,10.0,41.67
335995,PP Chawla,29,24,0,12,4.0,7.25,50.0
335995,R Bhatia,5,6,1,2,1.0,5.0,33.33
335995,S Sreesanth,26,12,0,1,2.0,13.0,8.33
335995,Shoaib Malik,32,21,1,8,3.5,9.14,38.1
335995,VRV Singh,29,24,3,10,4.0,7.25,41.67
335995,VY Mahesh,23,24,1,9,4.0,5.75,37.5
335995,Yuvraj Singh,11,12,1,5,2.0,5.5,41.67
335996,B Akhil,34,24,0,9,4.0,8.5,37.5
335996,DW Steyn,40,24,0,11,4.0,10.0,45.83
335996,JA Morkel,38,24,1,6,4.0,9.5,25.0
335996,JDP Oram,27,24,2,10,4.0,6.75,41.67
335996,JH Kallis,36,24,0,4,4.0,9.0,16.67
335996,Joginder Sharma,28,22,2,4,3.67,7.63,18.18
335996,MS Gony,34,24,3,10,4.0,8.5,41.67
335996,P Amarnath,38,24,2,5,4.0,9.5,20.83
335996,P Kumar,29,24,2,8,4.0,7.25,33.33
335996,Z Khan,39,24,3,11,4.0,9.75,45.83
335997,A Nehra,9,6,0,3,1.0,9.0,50.0
335997,AB Agarkar,23,24,1,13,4.0,5.75,54.17
335997,AB Dinda,16,24,1,15,4.0,4.0,62.5
335997,CRD Fernando,42,24,1,7,4.0,10.5,29.17
335997,DJ Bravo,25,24,1,11,4.0,6.25,45.83
335997,DS Kulkarni,20,18,0,7,3.0,6.67,38.89
335997,I Sharma,33,22,1,13,3.67,8.99,59.09
335997,LR Shukla,11,6,0,1,1.0,11.0,16.67
335997,M Kartik,25,18,0,8,3.0,8.33,44.44
335997,Mohammad Hafeez,16,6,0,1,1.0,16.0,16.67
335997,SC Ganguly,14,12,0,1,2.0,7.0,8.33
335997,SM Pollock,27,24,2,11,4.0,6.75,45.83
335997,ST Jayasuriya,14,24,4,14,4.0,3.5,58.33
335998,DL Vettori,19,24,1,8,4.0,4.75,33.33
335998,DW Steyn,29,24,2,10,4.0,7.25,41.67
335998,GD McGrath,29,24,4,10,4.0,7.25,41.67
335998,JH Kallis,39,24,2,6,4.0,9.75,25.0
